id,title,description,availability,condition,price,link,image_link,brand,product_type
camilo-bogot-paquete-concierto,Camilo · Bogotá — Paquete Concierto,"Camilo se presenta en el Movistar Arena de Bogotá el 11 de diciembre. El paquete sale desde Caracas e incluye entrada al concierto, vuelo ida y vuelta, alojamiento, traslados privados, salón VIP, asistencia médica y eSIM de datos. Precio por persona. Cupos limitados: coordina los detalles finales con tu asesor por WhatsApp.",in stock,new,1239.00 USD,https://www.reanotravel.com/tienda/p/camilo-bogot-paquete-concierto,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/667a9f01-6110-40d4-a473-9643bd44928c/movistar-arena.jpg,Reano Travels & Tours,Paquetes
chayanne-bailemos-otra-vez-paquete-concierto,Chayanne · Bailemos Otra Vez — Paquete Concierto,"Chayanne llega al Coliseo MedPlus de Bogotá el sábado 21 de noviembre de 2026 con su gira Bailemos Otra Vez. Tu paquete incluye entrada al concierto, vuelo ida y vuelta desde Caracas, alojamiento con desayunos incluidos, traslados privados, salón VIP, asistencia médica y eSIM de datos. Viaje del 20 al 23 de noviembre. Precio por persona. Cupos limitados: coordina los detalles finales con tu asesor por WhatsApp.",in stock,new,1259.00 USD,https://www.reanotravel.com/tienda/p/chayanne-bailemos-otra-vez-paquete-concierto,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/1786462434316-46IFVN61IB9NX1HUVLZ0/chayanne.jpg,Reano Travels & Tours,Paquetes
aitana-cuarto-azul-paquete-concierto,Aitana · Cuarto Azul — Paquete Concierto,"Aitana llega al Movistar Arena de Bogotá el viernes 16 de octubre de 2026 con su gira Cuarto Azul. Tu paquete incluye entrada con asiento numerado en el Piso 2 —sabes exactamente dónde te toca antes de salir de casa—, vuelo ida y vuelta, hotel, traslados en Bogotá, seguro de viaje y eSIM de datos. Precio por persona. Cupos limitados: coordina los detalles finales con tu asesor por WhatsApp.",in stock,new,629.00 USD,https://www.reanotravel.com/tienda/p/aitana-cuarto-azul-paquete-concierto,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/7a18b6d3-2d90-4028-b156-df2cae2a071e/aitana-cuarto-azul.jpg,Reano Travels & Tours,Paquetes
edc-colombia-paquete-concierto,EDC Colombia — Paquete Concierto,"EDC Colombia se celebra en el Estadio Atanasio Girardot de Medellín el sábado 10 y el domingo 11 de octubre de 2026. Tu paquete incluye el abono de los dos días —el evento es solo para mayores de 18—, vuelo ida y vuelta, hotel, tour a Guatapé, seguro de viaje y eSIM de datos. Precio por persona. Cupos limitados: coordina los detalles finales con tu asesor por WhatsApp.",in stock,new,1199.00 USD,https://www.reanotravel.com/tienda/p/edc-colombia-paquete-concierto,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/fa15e5ef-5900-4be9-9f96-263b803cac07/edc-colombia.jpg,Reano Travels & Tours,Paquetes
tini-futttura-paquete-concierto,TINI · FUTTTURA — Paquete Concierto,"TINI llega al Movistar Arena de Bogotá el viernes 18 de septiembre de 2026 con su FUTTTURA World Tour, un recorrido por todas sus eras. Tu paquete incluye entrada en PLATEA (la pista, por donde entra la pasarela del escenario), vuelo directo ida y vuelta con 23 kg de bodega, hotel de cuatro estrellas, traslados en Bogotá, seguro de viaje y eSIM de datos. Precio por persona en habitación doble. Elige tu ciudad de salida.",in stock,new,599.00 USD,https://www.reanotravel.com/tienda/p/tini-futttura-paquete-concierto,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/c397cbef-a452-4fdf-9b28-6886b08f8c80/tini-futttura.jpg,Reano Travels & Tours,Paquetes
bono-de-regalo-reao-travels,Bono de regalo Reaño Travels,"Regala un viaje sin tener que adivinar el destino. Quien lo recibe elige: un paquete nacional o internacional, un viaje de concierto o su seguro de viaje. Cómo funciona: eliges el monto y, al completar la compra, se genera un código único que llega por correo. Ese código se canjea en la tienda de Reaño Travels & Tours y conserva su saldo, así que se puede usar en más de una compra hasta agotarlo. Sin fecha de vencimiento y sin comisiones. El valor está expresado en dólares estadounidenses.",in stock,new,50.00 USD,https://www.reanotravel.com/tienda/p/bono-de-regalo-reao-travels,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/80ed33b2-8247-4a37-909d-cf8d190edabe/bono-regalo-viaje.jpg,Reano Travels & Tours,Paquetes
los-roques-desde-caracas,Los Roques — desde Caracas,"3 noches en posada con full pensión y bebidas, saliendo desde Caracas. Paseo en lancha a los cayos turquesa y equipo de playa completo: toallas, sillas, sombrillas y cava. Cupos limitados — al reservar, tu asesor Reaño coordina contigo fechas y detalles por WhatsApp.",in stock,new,550.00 USD,https://www.reanotravel.com/tienda/p/los-roques-desde-caracas,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/1786120964434-K9GQQ6XSIQC580JSEAZQ/losroques.jpg,Reano Travels & Tours,Paquetes
los-roques-desde-el-tchira,Los Roques — desde el Táchira,"3 noches en posada con full pensión y bebidas, saliendo desde el Táchira con Salón VIP. Paseo en lancha a los cayos turquesa y equipo de playa completo. Cupos limitados — al reservar, tu asesor Reaño coordina contigo fechas y detalles por WhatsApp.",in stock,new,799.00 USD,https://www.reanotravel.com/tienda/p/los-roques-desde-el-tchira,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/1786120973436-CYH8VRR58HRPPGEONVS5/losroques-3.jpg,Reano Travels & Tours,Paquetes
canaima-y-el-salto-ngel-desde-caracas,Canaima y el Salto Ángel — desde Caracas,"4 días / 3 noches, Todo Incluido, saliendo desde Caracas. Vuelos ida y vuelta, full pensión, excursión al Salto Ángel y alojamiento frente a la laguna. Cupos limitados — al reservar, tu asesor Reaño coordina contigo fechas y detalles por WhatsApp.",in stock,new,1250.00 USD,https://www.reanotravel.com/tienda/p/canaima-y-el-salto-ngel-desde-caracas,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/1786120982544-ZT3BRTRP79ZHDIR49HZM/canaima.jpg,Reano Travels & Tours,Paquetes
canaima-y-el-salto-ngel-desde-el-tchira,Canaima y el Salto Ángel — desde el Táchira,"4 días / 3 noches, Todo Incluido, saliendo desde el Táchira con Salón VIP. Vuelos ida y vuelta, full pensión, excursión al Salto Ángel y alojamiento frente a la laguna. Cupos limitados — al reservar, tu asesor Reaño coordina contigo fechas y detalles por WhatsApp.",in stock,new,1550.00 USD,https://www.reanotravel.com/tienda/p/canaima-y-el-salto-ngel-desde-el-tchira,https://images.squarespace-cdn.com/content/v1/6a343e736c91f8368b93927a/1786120992429-Z3R802IJ8CWK8Y93IX6B/canaima-4.jpg,Reano Travels & Tours,Paquetes
